policy_check_id,asset_id,classification,source_max_allowed_classification,classification_within_source_policy,access_control_status,retention_status,retention_policy_days,contains_sensitive_tokens,governance_pass,review_required_before_retrieval
POL-00040,AST-00040,restricted,restricted,True,aligned,aligned,365,False,True,False
POL-00041,AST-00041,confidential,restricted,True,missing_review,aligned,1825,True,False,True
POL-00042,AST-00042,confidential,public_internal,False,missing_review,aligned,730,False,False,True
POL-00043,AST-00043,public_internal,confidential,True,aligned,missing_policy,2555,False,False,True
POL-00044,AST-00044,restricted,restricted,True,aligned,aligned,1095,False,True,False
POL-00045,AST-00045,restricted,public_internal,False,aligned,aligned,1825,False,False,True
POL-00046,AST-00046,confidential,confidential,True,missing_review,aligned,1095,False,False,True
POL-00047,AST-00047,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00048,AST-00048,regulated_sensitive,confidential,False,missing_review,aligned,1095,False,False,True
POL-00049,AST-00049,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00050,AST-00050,regulated_sensitive,restricted,False,aligned,aligned,365,False,False,True
POL-00051,AST-00051,regulated_sensitive,confidential,False,aligned,aligned,1095,False,False,True
POL-00052,AST-00052,restricted,restricted,True,aligned,expired,730,False,False,True
POL-00053,AST-00053,confidential,regulated_sensitive,True,overexposed,aligned,1095,False,False,True
POL-00054,AST-00054,confidential,public_internal,False,aligned,aligned,1825,False,False,True
POL-00055,AST-00055,restricted,restricted,True,aligned,aligned,1095,False,True,False
POL-00056,AST-00056,confidential,regulated_sensitive,True,overexposed,aligned,730,False,False,True
POL-00057,AST-00057,restricted,confidential,False,aligned,expired,730,True,False,True
POL-00058,AST-00058,regulated_sensitive,confidential,False,aligned,missing_policy,2555,False,False,True
POL-00059,AST-00059,confidential,regulated_sensitive,True,aligned,missing_policy,365,False,False,True
POL-00060,AST-00060,regulated_sensitive,public_internal,False,overexposed,aligned,1825,True,False,True
POL-00061,AST-00061,confidential,confidential,True,aligned,aligned,730,False,True,False
POL-00062,AST-00062,regulated_sensitive,restricted,False,aligned,aligned,1095,False,False,True
POL-00063,AST-00063,confidential,restricted,True,overexposed,aligned,730,True,False,True
POL-00064,AST-00064,confidential,restricted,True,aligned,aligned,730,False,True,False
POL-00065,AST-00065,restricted,public_internal,False,aligned,aligned,365,False,False,True
POL-00066,AST-00066,restricted,restricted,True,aligned,aligned,730,False,True,False
POL-00067,AST-00067,confidential,restricted,True,missing_review,aligned,1825,False,False,True
POL-00068,AST-00068,confidential,restricted,True,overexposed,aligned,1095,True,False,True
POL-00069,AST-00069,confidential,public_internal,False,overexposed,aligned,1825,False,False,True
POL-00070,AST-00070,public_internal,public_internal,True,aligned,aligned,1825,False,True,False
POL-00071,AST-00071,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00072,AST-00072,confidential,restricted,True,aligned,missing_policy,365,False,False,True
POL-00073,AST-00073,public_internal,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00074,AST-00074,regulated_sensitive,regulated_sensitive,True,missing_review,aligned,1095,False,False,True
POL-00075,AST-00075,restricted,confidential,False,aligned,aligned,365,True,False,True
POL-00076,AST-00076,restricted,public_internal,False,overexposed,aligned,730,False,False,True
POL-00077,AST-00077,confidential,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00078,AST-00078,confidential,public_internal,False,aligned,aligned,2555,False,False,True
POL-00079,AST-00079,confidential,restricted,True,aligned,aligned,365,False,True,False
POL-00080,AST-00080,confidential,confidential,True,overexposed,aligned,1825,False,False,True
POL-00081,AST-00081,public_internal,restricted,True,aligned,aligned,1095,True,True,False
POL-00082,AST-00082,regulated_sensitive,public_internal,False,aligned,aligned,730,False,False,True
POL-00083,AST-00083,confidential,restricted,True,aligned,aligned,365,False,True,False
POL-00084,AST-00084,confidential,confidential,True,missing_review,missing_policy,1825,False,False,True
POL-00085,AST-00085,confidential,restricted,True,missing_review,aligned,365,False,False,True
POL-00086,AST-00086,confidential,regulated_sensitive,True,overexposed,aligned,365,True,False,True
POL-00087,AST-00087,confidential,confidential,True,overexposed,missing_policy,730,False,False,True
POL-00088,AST-00088,public_internal,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00089,AST-00089,confidential,restricted,True,missing_review,aligned,365,True,False,True
POL-00090,AST-00090,confidential,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00091,AST-00091,restricted,regulated_sensitive,True,aligned,aligned,1825,False,True,False
POL-00092,AST-00092,confidential,confidential,True,aligned,missing_policy,730,False,False,True
POL-00093,AST-00093,confidential,restricted,True,aligned,aligned,1095,False,True,False
POL-00094,AST-00094,restricted,public_internal,False,overexposed,aligned,1825,False,False,True
POL-00095,AST-00095,confidential,restricted,True,missing_review,aligned,730,True,False,True
POL-00096,AST-00096,restricted,confidential,False,aligned,aligned,2555,False,False,True
POL-00097,AST-00097,public_internal,public_internal,True,aligned,aligned,365,False,True,False
POL-00098,AST-00098,confidential,regulated_sensitive,True,aligned,expired,365,False,False,True
POL-00099,AST-00099,confidential,confidential,True,overexposed,aligned,1825,False,False,True
POL-00100,AST-00100,confidential,public_internal,False,overexposed,aligned,1095,False,False,True
POL-00101,AST-00101,public_internal,confidential,True,aligned,aligned,1095,False,True,False
POL-00102,AST-00102,regulated_sensitive,restricted,False,missing_review,aligned,1095,True,False,True
POL-00103,AST-00103,public_internal,regulated_sensitive,True,missing_review,aligned,730,True,False,True
POL-00104,AST-00104,restricted,restricted,True,aligned,missing_policy,1825,False,False,True
POL-00105,AST-00105,restricted,confidential,False,aligned,aligned,1825,False,False,True
POL-00106,AST-00106,confidential,restricted,True,overexposed,aligned,2555,True,False,True
POL-00107,AST-00107,public_internal,confidential,True,aligned,missing_policy,730,True,False,True
POL-00108,AST-00108,confidential,confidential,True,aligned,missing_policy,2555,False,False,True
POL-00109,AST-00109,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00110,AST-00110,restricted,confidential,False,overexposed,aligned,730,False,False,True
POL-00111,AST-00111,confidential,public_internal,False,aligned,aligned,1825,False,False,True
POL-00112,AST-00112,restricted,restricted,True,aligned,aligned,1825,False,True,False
POL-00113,AST-00113,confidential,regulated_sensitive,True,overexposed,aligned,365,True,False,True
POL-00114,AST-00114,regulated_sensitive,public_internal,False,missing_review,missing_policy,1095,False,False,True
POL-00115,AST-00115,confidential,public_internal,False,aligned,aligned,2555,False,False,True
POL-00116,AST-00116,confidential,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00117,AST-00117,confidential,confidential,True,aligned,expired,365,False,False,True
POL-00118,AST-00118,regulated_sensitive,confidential,False,aligned,aligned,1825,True,False,True
POL-00119,AST-00119,confidential,confidential,True,aligned,aligned,2555,False,True,False
POL-00120,AST-00120,restricted,restricted,True,aligned,aligned,1095,False,True,False
POL-00121,AST-00121,regulated_sensitive,confidential,False,aligned,expired,730,False,False,True
POL-00122,AST-00122,regulated_sensitive,restricted,False,aligned,aligned,365,False,False,True
POL-00123,AST-00123,restricted,restricted,True,aligned,expired,1095,False,False,True
POL-00124,AST-00124,restricted,restricted,True,overexposed,aligned,365,False,False,True
POL-00125,AST-00125,regulated_sensitive,confidential,False,aligned,missing_policy,2555,False,False,True
POL-00126,AST-00126,confidential,restricted,True,aligned,aligned,365,False,True,False
POL-00127,AST-00127,restricted,confidential,False,aligned,missing_policy,365,False,False,True
POL-00128,AST-00128,regulated_sensitive,confidential,False,aligned,aligned,1095,False,False,True
POL-00129,AST-00129,confidential,restricted,True,aligned,missing_policy,1095,True,False,True
POL-00130,AST-00130,confidential,confidential,True,aligned,aligned,2555,True,True,False
POL-00131,AST-00131,confidential,public_internal,False,aligned,aligned,1095,False,False,True
POL-00132,AST-00132,public_internal,confidential,True,aligned,aligned,1095,False,True,False
POL-00133,AST-00133,confidential,restricted,True,missing_review,aligned,1095,True,False,True
POL-00134,AST-00134,public_internal,confidential,True,missing_review,aligned,1825,True,False,True
POL-00135,AST-00135,restricted,confidential,False,overexposed,aligned,1095,False,False,True
POL-00136,AST-00136,restricted,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00137,AST-00137,confidential,restricted,True,aligned,aligned,1095,True,True,False
POL-00138,AST-00138,confidential,restricted,True,aligned,aligned,730,False,True,False
POL-00139,AST-00139,restricted,public_internal,False,aligned,expired,365,False,False,True
POL-00140,AST-00140,public_internal,restricted,True,aligned,aligned,1095,True,True,False
POL-00141,AST-00141,public_internal,confidential,True,aligned,aligned,365,False,True,False
POL-00142,AST-00142,restricted,confidential,False,aligned,aligned,2555,False,False,True
POL-00143,AST-00143,restricted,public_internal,False,aligned,aligned,2555,False,False,True
POL-00144,AST-00144,confidential,restricted,True,aligned,expired,1095,False,False,True
POL-00145,AST-00145,restricted,confidential,False,overexposed,aligned,2555,False,False,True
POL-00146,AST-00146,regulated_sensitive,restricted,False,aligned,aligned,1095,False,False,True
POL-00147,AST-00147,confidential,restricted,True,missing_review,aligned,365,False,False,True
POL-00148,AST-00148,restricted,restricted,True,missing_review,aligned,1825,False,False,True
POL-00149,AST-00149,confidential,restricted,True,aligned,aligned,1095,False,True,False
POL-00150,AST-00150,public_internal,confidential,True,aligned,aligned,365,False,True,False
POL-00151,AST-00151,restricted,confidential,False,aligned,aligned,365,False,False,True
POL-00152,AST-00152,restricted,public_internal,False,missing_review,aligned,730,False,False,True
POL-00153,AST-00153,confidential,confidential,True,aligned,aligned,1825,False,True,False
POL-00154,AST-00154,restricted,public_internal,False,missing_review,missing_policy,1095,True,False,True
POL-00155,AST-00155,public_internal,public_internal,True,aligned,aligned,2555,False,True,False
POL-00156,AST-00156,restricted,regulated_sensitive,True,aligned,aligned,2555,False,True,False
POL-00157,AST-00157,confidential,restricted,True,overexposed,expired,1095,False,False,True
POL-00158,AST-00158,restricted,confidential,False,aligned,aligned,1095,True,False,True
POL-00159,AST-00159,regulated_sensitive,confidential,False,overexposed,aligned,1825,True,False,True
POL-00160,AST-00160,public_internal,regulated_sensitive,True,aligned,aligned,1825,False,True,False
POL-00161,AST-00161,confidential,public_internal,False,aligned,aligned,1095,True,False,True
POL-00162,AST-00162,public_internal,restricted,True,aligned,aligned,1825,False,True,False
POL-00163,AST-00163,regulated_sensitive,confidential,False,overexposed,aligned,1095,False,False,True
POL-00164,AST-00164,restricted,restricted,True,aligned,aligned,1825,False,True,False
POL-00165,AST-00165,restricted,confidential,False,aligned,expired,365,False,False,True
POL-00166,AST-00166,regulated_sensitive,confidential,False,aligned,aligned,1825,False,False,True
POL-00167,AST-00167,restricted,restricted,True,aligned,aligned,730,False,True,False
POL-00168,AST-00168,confidential,confidential,True,aligned,aligned,1095,True,True,False
POL-00169,AST-00169,confidential,restricted,True,aligned,aligned,1825,False,True,False
POL-00170,AST-00170,confidential,public_internal,False,aligned,expired,1095,False,False,True
POL-00171,AST-00171,restricted,confidential,False,overexposed,aligned,1825,False,False,True
POL-00172,AST-00172,regulated_sensitive,confidential,False,overexposed,missing_policy,730,True,False,True
POL-00173,AST-00173,confidential,confidential,True,aligned,aligned,365,False,True,False
POL-00174,AST-00174,confidential,restricted,True,aligned,aligned,730,False,True,False
POL-00175,AST-00175,restricted,restricted,True,aligned,aligned,1095,False,True,False
POL-00176,AST-00176,confidential,restricted,True,aligned,aligned,365,False,True,False
POL-00177,AST-00177,regulated_sensitive,public_internal,False,missing_review,aligned,2555,True,False,True
POL-00178,AST-00178,regulated_sensitive,restricted,False,missing_review,aligned,365,False,False,True
POL-00179,AST-00179,confidential,public_internal,False,aligned,aligned,730,True,False,True
POL-00180,AST-00180,restricted,public_internal,False,overexposed,missing_policy,1095,False,False,True
POL-00181,AST-00181,regulated_sensitive,public_internal,False,aligned,aligned,1095,False,False,True
POL-00182,AST-00182,confidential,restricted,True,aligned,aligned,1825,False,True,False
POL-00183,AST-00183,public_internal,confidential,True,aligned,aligned,730,False,True,False
POL-00184,AST-00184,confidential,public_internal,False,overexposed,aligned,2555,False,False,True
POL-00185,AST-00185,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00186,AST-00186,confidential,public_internal,False,aligned,aligned,730,False,False,True
POL-00187,AST-00187,confidential,regulated_sensitive,True,aligned,aligned,365,False,True,False
POL-00188,AST-00188,restricted,confidential,False,overexposed,missing_policy,365,False,False,True
POL-00189,AST-00189,regulated_sensitive,confidential,False,aligned,aligned,365,True,False,True
POL-00190,AST-00190,confidential,restricted,True,aligned,aligned,365,False,True,False
POL-00191,AST-00191,confidential,public_internal,False,aligned,aligned,1825,True,False,True
POL-00192,AST-00192,restricted,restricted,True,missing_review,aligned,365,False,False,True
POL-00193,AST-00193,regulated_sensitive,restricted,False,aligned,aligned,730,False,False,True
POL-00194,AST-00194,confidential,restricted,True,aligned,aligned,365,False,True,False
POL-00195,AST-00195,confidential,public_internal,False,aligned,aligned,730,False,False,True
POL-00196,AST-00196,confidential,restricted,True,aligned,aligned,730,False,True,False
POL-00197,AST-00197,restricted,confidential,False,aligned,aligned,365,True,False,True
POL-00198,AST-00198,confidential,public_internal,False,aligned,aligned,2555,False,False,True
POL-00199,AST-00199,public_internal,public_internal,True,aligned,aligned,1825,True,True,False
POL-00200,AST-00200,confidential,public_internal,False,aligned,aligned,1095,False,False,True
POL-00201,AST-00201,confidential,restricted,True,aligned,aligned,1095,True,True,False
POL-00202,AST-00202,confidential,confidential,True,aligned,missing_policy,1095,False,False,True
POL-00203,AST-00203,confidential,confidential,True,aligned,aligned,365,True,True,False
POL-00204,AST-00204,regulated_sensitive,restricted,False,aligned,aligned,2555,False,False,True
POL-00205,AST-00205,confidential,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00206,AST-00206,public_internal,restricted,True,aligned,aligned,1095,False,True,False
POL-00207,AST-00207,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00208,AST-00208,confidential,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00209,AST-00209,confidential,public_internal,False,aligned,aligned,365,False,False,True
POL-00210,AST-00210,public_internal,public_internal,True,aligned,aligned,1825,False,True,False
POL-00211,AST-00211,regulated_sensitive,confidential,False,aligned,aligned,1825,False,False,True
POL-00212,AST-00212,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00213,AST-00213,regulated_sensitive,restricted,False,overexposed,aligned,1095,False,False,True
POL-00214,AST-00214,confidential,public_internal,False,aligned,missing_policy,730,False,False,True
POL-00215,AST-00215,restricted,restricted,True,overexposed,aligned,365,False,False,True
POL-00216,AST-00216,confidential,regulated_sensitive,True,overexposed,aligned,730,False,False,True
POL-00217,AST-00217,public_internal,confidential,True,aligned,aligned,365,False,True,False
POL-00218,AST-00218,confidential,restricted,True,aligned,aligned,1095,False,True,False
POL-00219,AST-00219,restricted,restricted,True,aligned,aligned,1095,False,True,False
POL-00220,AST-00220,confidential,restricted,True,aligned,expired,1825,True,False,True
POL-00221,AST-00221,restricted,confidential,False,aligned,aligned,1825,False,False,True
POL-00222,AST-00222,public_internal,confidential,True,aligned,aligned,1095,False,True,False
POL-00223,AST-00223,regulated_sensitive,confidential,False,overexposed,aligned,1825,True,False,True
POL-00224,AST-00224,public_internal,restricted,True,overexposed,aligned,365,False,False,True
POL-00225,AST-00225,restricted,confidential,False,missing_review,aligned,1095,True,False,True
POL-00226,AST-00226,confidential,public_internal,False,aligned,missing_policy,730,True,False,True
POL-00227,AST-00227,restricted,confidential,False,aligned,missing_policy,1095,True,False,True
POL-00228,AST-00228,restricted,public_internal,False,overexposed,aligned,1095,True,False,True
POL-00229,AST-00229,confidential,public_internal,False,aligned,aligned,1825,False,False,True
POL-00230,AST-00230,confidential,regulated_sensitive,True,overexposed,aligned,730,False,False,True
POL-00231,AST-00231,regulated_sensitive,restricted,False,missing_review,aligned,1825,True,False,True
POL-00232,AST-00232,confidential,public_internal,False,aligned,aligned,730,False,False,True
POL-00233,AST-00233,restricted,confidential,False,aligned,aligned,730,False,False,True
POL-00234,AST-00234,confidential,restricted,True,aligned,aligned,1825,True,True,False
POL-00235,AST-00235,public_internal,regulated_sensitive,True,aligned,aligned,1825,False,True,False
POL-00236,AST-00236,restricted,public_internal,False,aligned,aligned,365,False,False,True
POL-00237,AST-00237,confidential,public_internal,False,aligned,aligned,730,False,False,True
POL-00238,AST-00238,confidential,confidential,True,missing_review,aligned,730,False,False,True
POL-00239,AST-00239,confidential,confidential,True,aligned,expired,1095,False,False,True
POL-00240,AST-00240,restricted,public_internal,False,aligned,expired,1825,True,False,True
POL-00241,AST-00241,confidential,confidential,True,overexposed,aligned,1825,True,False,True
POL-00242,AST-00242,restricted,regulated_sensitive,True,aligned,aligned,2555,False,True,False
POL-00243,AST-00243,restricted,restricted,True,aligned,aligned,1825,True,True,False
POL-00244,AST-00244,restricted,regulated_sensitive,True,missing_review,aligned,730,False,False,True
POL-00245,AST-00245,public_internal,restricted,True,overexposed,aligned,730,False,False,True
POL-00246,AST-00246,restricted,restricted,True,aligned,aligned,365,False,True,False
POL-00247,AST-00247,confidential,confidential,True,aligned,aligned,365,True,True,False
POL-00248,AST-00248,confidential,regulated_sensitive,True,missing_review,aligned,730,False,False,True
POL-00249,AST-00249,confidential,restricted,True,aligned,aligned,730,False,True,False
POL-00250,AST-00250,public_internal,confidential,True,overexposed,aligned,1825,False,False,True
POL-00251,AST-00251,restricted,regulated_sensitive,True,overexposed,aligned,730,False,False,True
POL-00252,AST-00252,public_internal,confidential,True,missing_review,aligned,1095,False,False,True
POL-00253,AST-00253,restricted,confidential,False,aligned,aligned,1095,True,False,True
POL-00254,AST-00254,restricted,confidential,False,aligned,aligned,730,False,False,True
POL-00255,AST-00255,confidential,confidential,True,missing_review,aligned,1095,False,False,True
POL-00256,AST-00256,restricted,public_internal,False,aligned,aligned,2555,False,False,True
POL-00257,AST-00257,confidential,confidential,True,missing_review,aligned,1095,False,False,True
POL-00258,AST-00258,confidential,public_internal,False,aligned,aligned,1095,False,False,True
POL-00259,AST-00259,regulated_sensitive,confidential,False,aligned,aligned,2555,False,False,True
POL-00260,AST-00260,confidential,restricted,True,aligned,aligned,365,False,True,False
POL-00261,AST-00261,confidential,confidential,True,aligned,aligned,365,False,True,False
POL-00262,AST-00262,confidential,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00263,AST-00263,regulated_sensitive,public_internal,False,aligned,aligned,730,False,False,True
POL-00264,AST-00264,restricted,restricted,True,aligned,aligned,365,False,True,False
POL-00265,AST-00265,restricted,restricted,True,aligned,aligned,1825,False,True,False
POL-00266,AST-00266,regulated_sensitive,confidential,False,aligned,aligned,1825,False,False,True
POL-00267,AST-00267,confidential,confidential,True,aligned,aligned,365,True,True,False
POL-00268,AST-00268,confidential,confidential,True,aligned,aligned,1825,False,True,False
POL-00269,AST-00269,confidential,regulated_sensitive,True,aligned,missing_policy,730,False,False,True
POL-00270,AST-00270,confidential,confidential,True,overexposed,aligned,1095,True,False,True
POL-00271,AST-00271,public_internal,confidential,True,aligned,expired,730,False,False,True
POL-00272,AST-00272,confidential,confidential,True,aligned,aligned,730,True,True,False
POL-00273,AST-00273,confidential,restricted,True,aligned,aligned,365,True,True,False
POL-00274,AST-00274,restricted,regulated_sensitive,True,missing_review,expired,365,False,False,True
POL-00275,AST-00275,confidential,confidential,True,aligned,aligned,730,False,True,False
POL-00276,AST-00276,confidential,confidential,True,missing_review,aligned,365,False,False,True
POL-00277,AST-00277,confidential,restricted,True,aligned,missing_policy,1095,False,False,True
POL-00278,AST-00278,confidential,restricted,True,aligned,aligned,1095,False,True,False
POL-00279,AST-00279,restricted,restricted,True,aligned,missing_policy,730,False,False,True
POL-00280,AST-00280,confidential,restricted,True,aligned,expired,730,False,False,True
POL-00281,AST-00281,regulated_sensitive,confidential,False,aligned,aligned,1095,False,False,True
POL-00282,AST-00282,regulated_sensitive,public_internal,False,aligned,aligned,730,False,False,True
POL-00283,AST-00283,regulated_sensitive,confidential,False,aligned,aligned,1095,False,False,True
POL-00284,AST-00284,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00285,AST-00285,public_internal,regulated_sensitive,True,aligned,aligned,365,False,True,False
POL-00286,AST-00286,restricted,confidential,False,aligned,aligned,730,False,False,True
POL-00287,AST-00287,confidential,regulated_sensitive,True,aligned,missing_policy,365,False,False,True
POL-00288,AST-00288,public_internal,restricted,True,aligned,aligned,1825,False,True,False
POL-00289,AST-00289,restricted,public_internal,False,aligned,aligned,1825,False,False,True
POL-00290,AST-00290,confidential,public_internal,False,aligned,aligned,1825,False,False,True
POL-00291,AST-00291,confidential,restricted,True,overexposed,expired,1825,False,False,True
POL-00292,AST-00292,regulated_sensitive,restricted,False,aligned,aligned,1095,False,False,True
POL-00293,AST-00293,regulated_sensitive,confidential,False,aligned,aligned,1095,False,False,True
POL-00294,AST-00294,confidential,regulated_sensitive,True,missing_review,aligned,365,False,False,True
POL-00295,AST-00295,restricted,confidential,False,aligned,aligned,1095,False,False,True
POL-00296,AST-00296,restricted,restricted,True,aligned,missing_policy,365,False,False,True
POL-00297,AST-00297,confidential,regulated_sensitive,True,overexposed,missing_policy,365,False,False,True
POL-00298,AST-00298,public_internal,restricted,True,overexposed,aligned,1825,False,False,True
POL-00299,AST-00299,confidential,confidential,True,aligned,aligned,730,False,True,False
POL-00300,AST-00300,confidential,restricted,True,aligned,aligned,365,False,True,False
POL-00301,AST-00301,confidential,confidential,True,aligned,missing_policy,730,False,False,True
POL-00302,AST-00302,public_internal,restricted,True,overexposed,aligned,365,False,False,True
POL-00303,AST-00303,confidential,confidential,True,aligned,aligned,2555,False,True,False
POL-00304,AST-00304,restricted,confidential,False,aligned,aligned,365,False,False,True
POL-00305,AST-00305,regulated_sensitive,confidential,False,overexposed,aligned,365,False,False,True
POL-00306,AST-00306,restricted,public_internal,False,aligned,aligned,365,False,False,True
POL-00307,AST-00307,public_internal,public_internal,True,aligned,aligned,365,True,True,False
POL-00308,AST-00308,confidential,public_internal,False,aligned,expired,1095,False,False,True
POL-00309,AST-00309,restricted,public_internal,False,aligned,aligned,2555,True,False,True
POL-00310,AST-00310,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00311,AST-00311,confidential,public_internal,False,aligned,aligned,1095,True,False,True
POL-00312,AST-00312,restricted,confidential,False,aligned,aligned,2555,True,False,True
POL-00313,AST-00313,confidential,public_internal,False,aligned,aligned,365,False,False,True
POL-00314,AST-00314,confidential,restricted,True,aligned,aligned,365,False,True,False
POL-00315,AST-00315,restricted,confidential,False,aligned,aligned,2555,False,False,True
POL-00316,AST-00316,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00317,AST-00317,restricted,public_internal,False,aligned,aligned,365,True,False,True
POL-00318,AST-00318,public_internal,restricted,True,overexposed,aligned,365,False,False,True
POL-00319,AST-00319,public_internal,confidential,True,aligned,aligned,1095,True,True,False
POL-00320,AST-00320,public_internal,public_internal,True,overexposed,aligned,730,False,False,True
POL-00321,AST-00321,confidential,restricted,True,aligned,aligned,1825,True,True,False
POL-00322,AST-00322,regulated_sensitive,regulated_sensitive,True,aligned,aligned,365,True,True,False
POL-00323,AST-00323,regulated_sensitive,restricted,False,overexposed,expired,365,False,False,True
POL-00324,AST-00324,regulated_sensitive,restricted,False,overexposed,aligned,365,False,False,True
POL-00325,AST-00325,restricted,confidential,False,aligned,aligned,1095,False,False,True
POL-00326,AST-00326,restricted,public_internal,False,aligned,aligned,2555,False,False,True
POL-00327,AST-00327,restricted,confidential,False,aligned,aligned,2555,False,False,True
POL-00328,AST-00328,confidential,confidential,True,aligned,aligned,2555,False,True,False
POL-00329,AST-00329,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00330,AST-00330,public_internal,confidential,True,aligned,aligned,1095,False,True,False
POL-00331,AST-00331,restricted,public_internal,False,aligned,aligned,1825,False,False,True
POL-00332,AST-00332,regulated_sensitive,restricted,False,aligned,aligned,1825,False,False,True
POL-00333,AST-00333,confidential,public_internal,False,overexposed,expired,730,True,False,True
POL-00334,AST-00334,confidential,public_internal,False,aligned,aligned,365,False,False,True
POL-00335,AST-00335,confidential,confidential,True,aligned,aligned,365,False,True,False
POL-00336,AST-00336,restricted,restricted,True,missing_review,missing_policy,1825,False,False,True
POL-00337,AST-00337,confidential,confidential,True,aligned,missing_policy,730,False,False,True
POL-00338,AST-00338,restricted,confidential,False,aligned,aligned,1095,False,False,True
POL-00339,AST-00339,public_internal,regulated_sensitive,True,missing_review,missing_policy,730,False,False,True
