asset_id,source_id,asset_title,asset_type,domain,ai_retrieval_candidate,included_in_retrieval,business_description_present,metadata_owner_present,lineage_documented,last_refreshed_at,classification,access_control_status,retention_status,semantic_label,document_structure_score,retrieval_ambiguity_score,risk_decision_signal,consumer_team,days_since_refresh
AST-00029,SRC-034,Business Registry Policy Document 0029,policy_document,Business Registry,True,True,True,True,True,2026-06-09,confidential,aligned,aligned,sanctions_context,0.708,0.271,medium,Identity Product,43
AST-00030,SRC-090,Compliance Policy Faq 0030,faq,Compliance Policy,True,True,False,True,True,2026-07-11,regulated_sensitive,aligned,aligned,business_registry,0.971,0.02,medium,Identity Product,11
AST-00031,SRC-074,Customer Risk Notes Table 0031,table,Customer Risk Notes,True,True,True,True,True,2026-07-13,regulated_sensitive,aligned,missing_policy,fraud_indicator,0.528,0.161,high,Customer Ops,9
AST-00032,SRC-018,Business Registry Case Note Template 0032,case_note_template,Business Registry,True,True,True,True,False,2026-07-10,regulated_sensitive,overexposed,aligned,sanctions_context,0.87,0.611,high,Fraud Product,12
AST-00033,SRC-030,Fraud Signals Knowledge Article 0033,knowledge_article,Fraud Signals,True,True,True,True,True,2026-06-03,restricted,aligned,aligned,sanctions_context,0.76,0.414,medium,AI Platform,49
AST-00034,SRC-093,Compliance Policy Faq 0034,faq,Compliance Policy,False,False,True,False,True,2026-07-04,restricted,aligned,aligned,retention_rule,0.85,0.185,unclear,Identity Product,18
AST-00035,SRC-036,Case Operations Table 0035,table,Case Operations,True,True,False,True,False,2026-07-18,regulated_sensitive,aligned,aligned,case_workflow,0.699,0.206,medium,Compliance Ops,4
AST-00036,SRC-079,Fraud Signals Table 0036,table,Fraud Signals,True,True,True,False,True,2026-07-06,confidential,overexposed,missing_policy,,0.845,0.02,high,Customer Ops,16
AST-00037,SRC-019,Customer Risk Notes Knowledge Article 0037,knowledge_article,Customer Risk Notes,True,True,True,True,True,2026-07-14,regulated_sensitive,aligned,aligned,device_risk,0.834,0.115,unclear,Customer Ops,8
AST-00038,SRC-026,Customer Risk Notes Table 0038,table,Customer Risk Notes,False,False,True,False,False,2026-06-23,confidential,aligned,aligned,business_registry,0.747,0.192,high,AI Platform,29
AST-00039,SRC-053,Fraud Signals Faq 0039,faq,Fraud Signals,True,True,True,False,False,2026-05-29,confidential,aligned,aligned,case_workflow,1.0,0.459,unclear,Customer Ops,54
AST-00040,SRC-072,Identity Verification Runbook 0040,runbook,Identity Verification,True,True,True,True,False,2026-07-12,restricted,aligned,aligned,identity_verification,0.518,0.323,medium,Identity Product,10
AST-00041,SRC-096,Business Registry Faq 0041,faq,Business Registry,True,False,True,True,True,2026-07-20,confidential,missing_review,aligned,identity_verification,0.731,0.173,high,Customer Ops,2
AST-00042,SRC-053,Fraud Signals Policy Document 0042,policy_document,Fraud Signals,True,True,False,True,True,2026-05-12,confidential,missing_review,aligned,retention_rule,0.854,0.458,medium,Compliance Ops,71
AST-00043,SRC-025,Compliance Policy Knowledge Article 0043,knowledge_article,Compliance Policy,True,False,True,False,True,2026-07-20,public_internal,aligned,missing_policy,access_policy,0.717,0.587,medium,Fraud Product,2
AST-00044,SRC-080,Device Intelligence Case Note Template 0044,case_note_template,Device Intelligence,True,False,True,True,True,2026-05-14,restricted,aligned,aligned,device_risk,0.68,0.087,high,Compliance Ops,69
AST-00045,SRC-027,Fraud Signals Runbook 0045,runbook,Fraud Signals,False,False,True,True,True,2026-06-07,restricted,aligned,aligned,case_workflow,0.86,0.02,low,AI Platform,45
AST-00046,SRC-086,Identity Verification Table 0046,table,Identity Verification,True,True,True,True,False,2026-07-11,confidential,missing_review,aligned,risk_decision_signal,0.743,0.246,low,AI Platform,11
AST-00047,SRC-084,Sanctions Screening Table 0047,table,Sanctions Screening,True,False,True,True,True,2026-07-16,confidential,aligned,aligned,business_registry,0.51,0.113,low,AI Platform,6
AST-00048,SRC-049,Compliance Policy Table 0048,table,Compliance Policy,True,True,True,True,True,2026-07-15,regulated_sensitive,missing_review,aligned,fraud_indicator,0.56,0.167,high,Identity Product,7
AST-00049,SRC-049,Compliance Policy Runbook 0049,runbook,Compliance Policy,True,True,True,False,True,2026-07-16,confidential,aligned,aligned,fraud_indicator,0.784,0.24,low,Identity Product,6
AST-00050,SRC-011,Customer Risk Notes Case Note Template 0050,case_note_template,Customer Risk Notes,True,True,True,True,True,2026-07-15,regulated_sensitive,aligned,aligned,business_registry,0.931,0.103,medium,Fraud Product,7
AST-00051,SRC-041,Fraud Signals Case Note Template 0051,case_note_template,Fraud Signals,True,True,True,True,True,2026-07-16,regulated_sensitive,aligned,aligned,risk_decision_signal,0.553,0.224,medium,Fraud Product,6
AST-00052,SRC-055,Sanctions Screening Runbook 0052,runbook,Sanctions Screening,True,True,True,False,True,2026-07-02,restricted,aligned,expired,fraud_indicator,0.832,0.143,high,Customer Ops,20
AST-00053,SRC-091,Business Registry Runbook 0053,runbook,Business Registry,False,False,False,True,True,2026-05-23,confidential,overexposed,aligned,case_workflow,0.647,0.306,high,AI Platform,60
AST-00054,SRC-017,Device Intelligence Faq 0054,faq,Device Intelligence,False,False,True,True,True,2026-07-12,confidential,aligned,aligned,access_policy,0.541,0.29,medium,Compliance Ops,10
AST-00055,SRC-068,Device Intelligence Knowledge Article 0055,knowledge_article,Device Intelligence,False,False,True,True,True,2026-05-28,restricted,aligned,aligned,access_policy,0.498,0.415,unclear,AI Platform,55
AST-00056,SRC-015,Fraud Signals Knowledge Article 0056,knowledge_article,Fraud Signals,False,False,True,False,True,2026-06-19,confidential,overexposed,aligned,sanctions_context,0.524,0.304,medium,Compliance Ops,33
AST-00057,SRC-074,Customer Risk Notes Table 0057,table,Customer Risk Notes,True,True,True,True,True,2026-07-08,restricted,aligned,expired,access_policy,0.82,0.255,unclear,Customer Ops,14
AST-00058,SRC-025,Compliance Policy Runbook 0058,runbook,Compliance Policy,True,False,True,True,True,2026-07-20,regulated_sensitive,aligned,missing_policy,case_workflow,0.701,0.305,low,Fraud Product,2
AST-00059,SRC-045,Case Operations Knowledge Article 0059,knowledge_article,Case Operations,True,True,True,True,True,2026-06-02,confidential,aligned,missing_policy,risk_decision_signal,0.8,0.175,medium,Customer Ops,50
AST-00060,SRC-058,Identity Verification Table 0060,table,Identity Verification,True,True,True,True,True,2026-07-20,regulated_sensitive,overexposed,aligned,case_workflow,0.746,0.02,medium,AI Platform,2
AST-00061,SRC-004,Sanctions Screening Knowledge Article 0061,knowledge_article,Sanctions Screening,False,False,True,True,False,2026-06-20,confidential,aligned,aligned,identity_verification,0.656,0.176,low,Fraud Product,32
AST-00062,SRC-080,Device Intelligence Table 0062,table,Device Intelligence,True,False,True,True,True,2026-06-10,regulated_sensitive,aligned,aligned,fraud_indicator,0.791,0.068,low,Compliance Ops,42
AST-00063,SRC-079,Fraud Signals Table 0063,table,Fraud Signals,True,True,True,True,True,2026-05-19,confidential,overexposed,aligned,identity_verification,0.792,0.047,medium,AI Platform,64
AST-00064,SRC-005,Sanctions Screening Faq 0064,faq,Sanctions Screening,True,True,True,True,False,2026-04-25,confidential,aligned,aligned,entity_resolution,0.957,0.02,high,Identity Product,88
AST-00065,SRC-038,Device Intelligence Table 0065,table,Device Intelligence,True,True,True,False,True,2026-07-15,restricted,aligned,aligned,business_registry,0.731,0.206,low,AI Platform,7
AST-00066,SRC-078,Device Intelligence Faq 0066,faq,Device Intelligence,False,False,False,True,True,2026-04-24,restricted,aligned,aligned,identity_verification,0.886,0.448,medium,Identity Product,89
AST-00067,SRC-096,Business Registry Case Note Template 0067,case_note_template,Business Registry,False,False,True,False,False,2026-07-10,confidential,missing_review,aligned,device_risk,0.789,0.079,medium,AI Platform,12
AST-00068,SRC-080,Device Intelligence Knowledge Article 0068,knowledge_article,Device Intelligence,False,False,True,True,True,2026-05-29,confidential,overexposed,aligned,fraud_indicator,0.454,0.286,medium,Compliance Ops,54
AST-00069,SRC-057,Case Operations Table 0069,table,Case Operations,True,True,True,True,True,2026-07-20,confidential,overexposed,aligned,entity_resolution,0.556,0.398,medium,Fraud Product,2
AST-00070,SRC-027,Fraud Signals Runbook 0070,runbook,Fraud Signals,True,True,False,True,True,2026-05-24,public_internal,aligned,aligned,business_registry,0.61,0.02,medium,Customer Ops,59
AST-00071,SRC-024,Identity Verification Knowledge Article 0071,knowledge_article,Identity Verification,True,True,True,True,True,2026-06-07,confidential,aligned,aligned,access_policy,0.53,0.378,high,Customer Ops,45
AST-00072,SRC-054,Compliance Policy Policy Document 0072,policy_document,Compliance Policy,True,False,True,True,False,2026-07-16,confidential,aligned,missing_policy,case_workflow,0.594,0.286,low,Fraud Product,6
AST-00073,SRC-036,Case Operations Faq 0073,faq,Case Operations,False,False,True,True,True,2026-07-19,public_internal,aligned,aligned,retention_rule,0.605,0.465,low,Identity Product,3
AST-00074,SRC-091,Business Registry Knowledge Article 0074,knowledge_article,Business Registry,True,False,True,True,True,2026-06-01,regulated_sensitive,missing_review,aligned,identity_verification,0.564,0.569,medium,Fraud Product,51
AST-00075,SRC-039,Fraud Signals Table 0075,table,Fraud Signals,False,False,True,False,True,2026-05-03,restricted,aligned,aligned,access_policy,0.635,0.123,medium,Compliance Ops,80
AST-00076,SRC-023,Identity Verification Table 0076,table,Identity Verification,True,False,False,True,True,2026-06-04,restricted,overexposed,aligned,device_risk,0.737,0.237,low,Fraud Product,48
AST-00077,SRC-059,Case Operations Table 0077,table,Case Operations,True,True,True,True,True,2026-07-15,confidential,aligned,aligned,entity_resolution,1.0,0.368,medium,Compliance Ops,7
AST-00078,SRC-042,Case Operations Knowledge Article 0078,knowledge_article,Case Operations,True,True,True,False,True,2026-07-19,confidential,aligned,aligned,entity_resolution,0.843,0.335,medium,Identity Product,3
AST-00079,SRC-032,Compliance Policy Faq 0079,faq,Compliance Policy,True,True,True,True,False,2026-07-17,confidential,aligned,aligned,,1.0,0.399,high,Fraud Product,5
AST-00080,SRC-020,Device Intelligence Faq 0080,faq,Device Intelligence,False,False,True,True,True,2026-07-15,confidential,overexposed,aligned,,0.87,0.02,medium,Fraud Product,7
AST-00081,SRC-090,Compliance Policy Faq 0081,faq,Compliance Policy,True,True,True,True,True,2026-07-17,public_internal,aligned,aligned,access_policy,1.0,0.143,medium,AI Platform,5
AST-00082,SRC-023,Identity Verification Knowledge Article 0082,knowledge_article,Identity Verification,True,True,True,True,True,2026-06-27,regulated_sensitive,aligned,aligned,device_risk,0.701,0.02,low,Fraud Product,25
AST-00083,SRC-072,Identity Verification Faq 0083,faq,Identity Verification,True,True,True,False,True,2026-06-30,confidential,aligned,aligned,retention_rule,0.464,0.233,high,Fraud Product,22
AST-00084,SRC-006,Sanctions Screening Table 0084,table,Sanctions Screening,True,True,True,True,True,2026-04-27,confidential,missing_review,missing_policy,entity_resolution,0.765,0.196,medium,Fraud Product,86
AST-00085,SRC-046,Identity Verification Runbook 0085,runbook,Identity Verification,False,False,True,False,True,2026-07-11,confidential,missing_review,aligned,fraud_indicator,0.506,0.152,high,Compliance Ops,11
AST-00086,SRC-050,Sanctions Screening Runbook 0086,runbook,Sanctions Screening,True,True,True,True,True,2026-07-19,confidential,overexposed,aligned,device_risk,0.814,0.419,medium,Compliance Ops,3
AST-00087,SRC-051,Identity Verification Knowledge Article 0087,knowledge_article,Identity Verification,True,True,True,True,False,2026-07-15,confidential,overexposed,missing_policy,sanctions_context,0.652,0.217,medium,Identity Product,7
AST-00088,SRC-059,Case Operations Runbook 0088,runbook,Case Operations,True,True,True,True,True,2026-07-15,public_internal,aligned,aligned,entity_resolution,0.897,0.128,unclear,Identity Product,7
AST-00089,SRC-044,Compliance Policy Table 0089,table,Compliance Policy,True,False,True,True,True,2026-04-29,confidential,missing_review,aligned,device_risk,0.988,0.394,unclear,Customer Ops,84
AST-00090,SRC-036,Case Operations Table 0090,table,Case Operations,True,False,True,True,True,2026-07-18,confidential,aligned,aligned,identity_verification,0.72,0.662,low,Customer Ops,4
AST-00091,SRC-001,Identity Verification Faq 0091,faq,Identity Verification,False,False,True,True,True,2026-07-14,restricted,aligned,aligned,fraud_indicator,0.62,0.287,medium,AI Platform,8
AST-00092,SRC-004,Sanctions Screening Table 0092,table,Sanctions Screening,True,True,True,True,False,2026-06-23,confidential,aligned,missing_policy,case_workflow,0.85,0.39,medium,Compliance Ops,29
AST-00093,SRC-063,Customer Risk Notes Faq 0093,faq,Customer Risk Notes,True,True,True,False,True,2026-07-05,confidential,aligned,aligned,device_risk,0.653,0.082,high,AI Platform,17
AST-00094,SRC-027,Fraud Signals Table 0094,table,Fraud Signals,True,True,True,True,True,2026-07-08,restricted,overexposed,aligned,fraud_indicator,0.636,0.225,unclear,Customer Ops,14
AST-00095,SRC-005,Sanctions Screening Policy Document 0095,policy_document,Sanctions Screening,True,True,True,True,True,2026-05-16,confidential,missing_review,aligned,access_policy,0.888,0.02,medium,AI Platform,67
AST-00096,SRC-043,Case Operations Knowledge Article 0096,knowledge_article,Case Operations,False,False,False,True,True,2026-05-30,restricted,aligned,aligned,entity_resolution,0.877,0.241,medium,Identity Product,53
AST-00097,SRC-038,Device Intelligence Table 0097,table,Device Intelligence,True,True,False,True,True,2026-07-20,public_internal,aligned,aligned,identity_verification,0.957,0.33,medium,AI Platform,2
AST-00098,SRC-045,Case Operations Case Note Template 0098,case_note_template,Case Operations,True,True,True,True,True,2026-05-04,confidential,aligned,expired,entity_resolution,0.66,0.189,high,Fraud Product,79
AST-00099,SRC-064,Device Intelligence Case Note Template 0099,case_note_template,Device Intelligence,True,True,False,True,True,2026-07-13,confidential,overexposed,aligned,identity_verification,0.839,0.228,medium,AI Platform,9
AST-00100,SRC-022,Sanctions Screening Knowledge Article 0100,knowledge_article,Sanctions Screening,True,True,True,True,True,2026-07-05,confidential,overexposed,aligned,risk_decision_signal,0.822,0.274,high,Identity Product,17
AST-00101,SRC-028,Business Registry Faq 0101,faq,Business Registry,False,False,True,True,True,2026-05-11,public_internal,aligned,aligned,business_registry,0.625,0.248,high,Identity Product,72
AST-00102,SRC-092,Fraud Signals Knowledge Article 0102,knowledge_article,Fraud Signals,False,False,True,True,True,2026-07-11,regulated_sensitive,missing_review,aligned,business_registry,0.62,0.217,medium,Identity Product,11
AST-00103,SRC-066,Case Operations Table 0103,table,Case Operations,False,False,True,True,True,2026-07-07,public_internal,missing_review,aligned,identity_verification,0.861,0.154,medium,Fraud Product,15
AST-00104,SRC-067,Device Intelligence Case Note Template 0104,case_note_template,Device Intelligence,True,True,True,True,True,2026-04-29,restricted,aligned,missing_policy,,0.893,0.02,medium,Compliance Ops,84
AST-00105,SRC-020,Device Intelligence Knowledge Article 0105,knowledge_article,Device Intelligence,True,False,True,True,False,2026-07-17,restricted,aligned,aligned,access_policy,0.641,0.02,medium,Customer Ops,5
AST-00106,SRC-056,Business Registry Case Note Template 0106,case_note_template,Business Registry,True,True,False,True,True,2026-07-19,confidential,overexposed,aligned,business_registry,0.735,0.559,high,Compliance Ops,3
AST-00107,SRC-051,Identity Verification Table 0107,table,Identity Verification,True,True,True,True,True,2026-07-15,public_internal,aligned,missing_policy,sanctions_context,0.824,0.459,unclear,Customer Ops,7
AST-00108,SRC-025,Compliance Policy Knowledge Article 0108,knowledge_article,Compliance Policy,True,False,True,True,True,2026-07-10,confidential,aligned,missing_policy,,0.648,0.206,low,Identity Product,12
AST-00109,SRC-041,Fraud Signals Knowledge Article 0109,knowledge_article,Fraud Signals,False,False,True,True,True,2026-07-21,confidential,aligned,aligned,identity_verification,0.886,0.283,unclear,Identity Product,1
AST-00110,SRC-065,Sanctions Screening Faq 0110,faq,Sanctions Screening,True,False,True,False,True,2026-07-19,restricted,overexposed,aligned,entity_resolution,0.764,0.259,medium,Customer Ops,3
AST-00111,SRC-027,Fraud Signals Table 0111,table,Fraud Signals,True,True,True,True,True,2026-06-11,confidential,aligned,aligned,,0.76,0.02,medium,Identity Product,41
AST-00112,SRC-009,Customer Risk Notes Table 0112,table,Customer Risk Notes,True,True,True,True,True,2026-07-08,restricted,aligned,aligned,business_registry,0.909,0.302,medium,Fraud Product,14
AST-00113,SRC-047,Compliance Policy Case Note Template 0113,case_note_template,Compliance Policy,True,True,True,False,True,2026-05-12,confidential,overexposed,aligned,risk_decision_signal,0.889,0.267,medium,Customer Ops,71
AST-00114,SRC-071,Business Registry Table 0114,table,Business Registry,True,False,True,True,True,2026-07-11,regulated_sensitive,missing_review,missing_policy,fraud_indicator,0.845,0.222,medium,Identity Product,11
AST-00115,SRC-026,Customer Risk Notes Table 0115,table,Customer Risk Notes,True,True,True,False,False,2026-05-12,confidential,aligned,aligned,retention_rule,0.719,0.02,high,Fraud Product,71
AST-00116,SRC-036,Case Operations Case Note Template 0116,case_note_template,Case Operations,False,False,True,True,True,2026-07-15,confidential,aligned,aligned,sanctions_context,0.882,0.545,low,Customer Ops,7
AST-00117,SRC-039,Fraud Signals Knowledge Article 0117,knowledge_article,Fraud Signals,True,True,True,True,True,2026-05-24,confidential,aligned,expired,case_workflow,0.939,0.295,low,Customer Ops,59
AST-00118,SRC-077,Customer Risk Notes Policy Document 0118,policy_document,Customer Risk Notes,True,True,True,False,True,2026-07-06,regulated_sensitive,aligned,aligned,access_policy,0.693,0.534,medium,Customer Ops,16
AST-00119,SRC-016,Business Registry Table 0119,table,Business Registry,False,False,False,True,True,2026-06-15,confidential,aligned,aligned,entity_resolution,0.717,0.02,medium,Fraud Product,37
AST-00120,SRC-070,Customer Risk Notes Knowledge Article 0120,knowledge_article,Customer Risk Notes,True,True,True,True,True,2026-05-09,restricted,aligned,aligned,risk_decision_signal,0.649,0.272,medium,Customer Ops,74
AST-00121,SRC-073,Business Registry Knowledge Article 0121,knowledge_article,Business Registry,False,False,False,True,True,2026-04-23,regulated_sensitive,aligned,expired,identity_verification,0.686,0.386,medium,Compliance Ops,90
AST-00122,SRC-044,Compliance Policy Policy Document 0122,policy_document,Compliance Policy,True,False,True,False,True,2026-07-20,regulated_sensitive,aligned,aligned,retention_rule,0.986,0.131,medium,Identity Product,2
AST-00123,SRC-075,Sanctions Screening Table 0123,table,Sanctions Screening,True,True,True,True,True,2026-07-19,restricted,aligned,expired,identity_verification,0.777,0.162,medium,AI Platform,3
AST-00124,SRC-010,Sanctions Screening Table 0124,table,Sanctions Screening,True,True,True,True,True,2026-07-16,restricted,overexposed,aligned,case_workflow,0.803,0.02,high,Identity Product,6
AST-00125,SRC-025,Compliance Policy Runbook 0125,runbook,Compliance Policy,False,False,False,True,True,2026-07-20,regulated_sensitive,aligned,missing_policy,access_policy,0.917,0.08,high,Identity Product,2
AST-00126,SRC-010,Sanctions Screening Knowledge Article 0126,knowledge_article,Sanctions Screening,False,False,False,True,True,2026-07-12,confidential,aligned,aligned,entity_resolution,0.798,0.309,high,Compliance Ops,10
AST-00127,SRC-094,Case Operations Policy Document 0127,policy_document,Case Operations,True,True,True,True,True,2026-07-05,restricted,aligned,missing_policy,risk_decision_signal,1.0,0.197,medium,Customer Ops,17
AST-00128,SRC-002,Compliance Policy Policy Document 0128,policy_document,Compliance Policy,True,False,True,True,True,2026-05-12,regulated_sensitive,aligned,aligned,business_registry,0.947,0.195,high,Compliance Ops,71
AST-00129,SRC-090,Compliance Policy Policy Document 0129,policy_document,Compliance Policy,True,False,True,True,True,2026-07-12,confidential,aligned,missing_policy,device_risk,0.521,0.184,medium,Fraud Product,10
AST-00130,SRC-095,Case Operations Runbook 0130,runbook,Case Operations,True,True,True,True,True,2026-06-03,confidential,aligned,aligned,case_workflow,0.869,0.197,medium,Compliance Ops,49
AST-00131,SRC-022,Sanctions Screening Table 0131,table,Sanctions Screening,True,True,True,True,False,2026-07-18,confidential,aligned,aligned,sanctions_context,0.654,0.187,medium,AI Platform,4
AST-00132,SRC-086,Identity Verification Knowledge Article 0132,knowledge_article,Identity Verification,True,True,True,False,True,2026-07-16,public_internal,aligned,aligned,sanctions_context,0.825,0.032,high,Identity Product,6
AST-00133,SRC-092,Fraud Signals Knowledge Article 0133,knowledge_article,Fraud Signals,True,True,True,True,True,2026-07-18,confidential,missing_review,aligned,fraud_indicator,0.781,0.259,unclear,Identity Product,4
AST-00134,SRC-034,Business Registry Policy Document 0134,policy_document,Business Registry,False,False,True,True,True,2026-06-01,public_internal,missing_review,aligned,retention_rule,0.971,0.294,low,Customer Ops,51
AST-00135,SRC-049,Compliance Policy Table 0135,table,Compliance Policy,True,True,True,True,True,2026-07-10,restricted,overexposed,aligned,retention_rule,0.648,0.564,high,Customer Ops,12
AST-00136,SRC-066,Case Operations Policy Document 0136,policy_document,Case Operations,True,True,True,True,False,2026-07-21,restricted,aligned,aligned,business_registry,0.672,0.087,medium,AI Platform,1
AST-00137,SRC-090,Compliance Policy Faq 0137,faq,Compliance Policy,True,True,True,False,False,2026-07-20,confidential,aligned,aligned,fraud_indicator,0.803,0.209,medium,AI Platform,2
AST-00138,SRC-088,Customer Risk Notes Table 0138,table,Customer Risk Notes,False,False,True,True,True,2026-06-03,confidential,aligned,aligned,,0.909,0.179,medium,AI Platform,49
AST-00139,SRC-014,Sanctions Screening Knowledge Article 0139,knowledge_article,Sanctions Screening,True,True,False,True,True,2026-07-05,restricted,aligned,expired,device_risk,0.422,0.344,high,Compliance Ops,17
AST-00140,SRC-080,Device Intelligence Table 0140,table,Device Intelligence,True,False,True,True,False,2026-05-13,public_internal,aligned,aligned,retention_rule,0.824,0.037,low,Fraud Product,70
AST-00141,SRC-069,Sanctions Screening Faq 0141,faq,Sanctions Screening,False,False,True,True,True,2026-07-03,public_internal,aligned,aligned,fraud_indicator,1.0,0.508,low,Fraud Product,19
AST-00142,SRC-025,Compliance Policy Case Note Template 0142,case_note_template,Compliance Policy,False,False,True,True,True,2026-07-02,restricted,aligned,aligned,fraud_indicator,0.617,0.376,high,Compliance Ops,20
AST-00143,SRC-026,Customer Risk Notes Case Note Template 0143,case_note_template,Customer Risk Notes,True,True,True,True,False,2026-06-27,restricted,aligned,aligned,entity_resolution,0.775,0.465,medium,Customer Ops,25
AST-00144,SRC-080,Device Intelligence Faq 0144,faq,Device Intelligence,False,False,False,True,False,2026-05-20,confidential,aligned,expired,device_risk,1.0,0.245,low,Compliance Ops,63
