issue_id,asset_id,source_id,domain,issue_type,severity,included_in_retrieval,estimated_risk_exposure_points,recommended_action,target_owner,cycle_time_target_days,status
ISS-00124,AST-00046,SRC-086,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,10,in_progress
ISS-00125,AST-00046,SRC-086,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,5,in_progress
ISS-00126,AST-00046,SRC-086,Identity Verification,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,resolved
ISS-00129,AST-00048,SRC-049,Compliance Policy,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,15,blocked
ISS-00130,AST-00048,SRC-049,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,5,in_progress
ISS-00131,AST-00048,SRC-049,Compliance Policy,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,15,open
ISS-00142,AST-00052,SRC-055,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,10,in_progress
ISS-00145,AST-00053,SRC-091,Business Registry,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,5,in_progress
ISS-00154,AST-00056,SRC-015,Fraud Signals,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Knowledge Manager,15,open
ISS-00173,AST-00065,SRC-038,Device Intelligence,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,10,open
ISS-00179,AST-00067,SRC-096,Business Registry,stale_source,P1,False,160,Refresh or remove stale retrieval source,Knowledge Manager,15,open
ISS-00180,AST-00067,SRC-096,Business Registry,metadata_gap,P1,False,160,Complete business description and field dictionary,Knowledge Manager,15,open
ISS-00181,AST-00067,SRC-096,Business Registry,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Knowledge Manager,10,open
ISS-00182,AST-00067,SRC-096,Business Registry,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Governance Partner,5,open
ISS-00184,AST-00068,SRC-080,Device Intelligence,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,5,open
ISS-00193,AST-00072,SRC-054,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Source Owner,15,blocked
ISS-00194,AST-00072,SRC-054,Compliance Policy,metadata_gap,P1,False,160,Complete business description and field dictionary,Knowledge Manager,5,resolved
ISS-00195,AST-00072,SRC-054,Compliance Policy,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Source Owner,5,in_progress
ISS-00196,AST-00072,SRC-054,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,10,resolved
ISS-00197,AST-00072,SRC-054,Compliance Policy,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,10,open
ISS-00205,AST-00075,SRC-039,Fraud Signals,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,10,resolved
ISS-00210,AST-00078,SRC-042,Case Operations,metadata_gap,P1,True,160,Complete business description and field dictionary,Source Owner,5,open
ISS-00211,AST-00078,SRC-042,Case Operations,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Governance Partner,20,open
ISS-00212,AST-00078,SRC-042,Case Operations,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,20,open
ISS-00213,AST-00079,SRC-032,Compliance Policy,stale_source,P1,True,160,Refresh or remove stale retrieval source,Data Steward,10,resolved
ISS-00214,AST-00079,SRC-032,Compliance Policy,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,10,blocked
ISS-00215,AST-00079,SRC-032,Compliance Policy,semantic_label_gap,P1,True,160,Assign approved retrieval category labels,Knowledge Manager,15,open
ISS-00216,AST-00079,SRC-032,Compliance Policy,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,15,in_progress
ISS-00223,AST-00083,SRC-072,Identity Verification,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,15,blocked
ISS-00224,AST-00083,SRC-072,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,10,in_progress
ISS-00225,AST-00083,SRC-072,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Knowledge Manager,5,blocked
ISS-00226,AST-00083,SRC-072,Identity Verification,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,10,in_progress
ISS-00229,AST-00085,SRC-046,Identity Verification,metadata_gap,P1,False,160,Complete business description and field dictionary,Source Owner,10,in_progress
ISS-00230,AST-00085,SRC-046,Identity Verification,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Source Owner,10,open
ISS-00231,AST-00085,SRC-046,Identity Verification,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,15,in_progress
ISS-00232,AST-00085,SRC-046,Identity Verification,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,15,in_progress
ISS-00235,AST-00087,SRC-051,Identity Verification,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,10,resolved
ISS-00236,AST-00087,SRC-051,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,20,open
ISS-00237,AST-00087,SRC-051,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Governance Partner,10,open
ISS-00238,AST-00087,SRC-051,Identity Verification,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,15,blocked
ISS-00239,AST-00087,SRC-051,Identity Verification,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,5,in_progress
ISS-00249,AST-00092,SRC-004,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,20,in_progress
ISS-00250,AST-00093,SRC-063,Customer Risk Notes,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,15,open
ISS-00251,AST-00093,SRC-063,Customer Risk Notes,metadata_gap,P1,True,160,Complete business description and field dictionary,Source Owner,5,in_progress
ISS-00252,AST-00093,SRC-063,Customer Risk Notes,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Governance Partner,5,open
ISS-00253,AST-00093,SRC-063,Customer Risk Notes,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,10,open
ISS-00255,AST-00094,SRC-027,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,5,open
ISS-00264,AST-00098,SRC-045,Case Operations,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,10,in_progress
ISS-00273,AST-00102,SRC-092,Fraud Signals,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,10,resolved
ISS-00278,AST-00104,SRC-067,Device Intelligence,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,15,blocked
ISS-00279,AST-00105,SRC-020,Device Intelligence,stale_source,P1,False,160,Refresh or remove stale retrieval source,Knowledge Manager,15,open
ISS-00280,AST-00105,SRC-020,Device Intelligence,metadata_gap,P1,False,160,Complete business description and field dictionary,Knowledge Manager,10,blocked
ISS-00281,AST-00105,SRC-020,Device Intelligence,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Knowledge Manager,5,open
ISS-00282,AST-00105,SRC-020,Device Intelligence,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,15,in_progress
ISS-00283,AST-00105,SRC-020,Device Intelligence,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,10,resolved
ISS-00284,AST-00106,SRC-056,Business Registry,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,10,open
ISS-00285,AST-00106,SRC-056,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,5,in_progress
ISS-00286,AST-00106,SRC-056,Business Registry,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,10,open
ISS-00287,AST-00107,SRC-051,Identity Verification,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,15,in_progress
ISS-00288,AST-00107,SRC-051,Identity Verification,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,open
ISS-00289,AST-00107,SRC-051,Identity Verification,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,15,resolved
ISS-00290,AST-00108,SRC-025,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Governance Partner,10,in_progress
ISS-00291,AST-00108,SRC-025,Compliance Policy,metadata_gap,P1,False,160,Complete business description and field dictionary,Governance Partner,10,open
ISS-00292,AST-00108,SRC-025,Compliance Policy,semantic_label_gap,P1,False,160,Assign approved retrieval category labels,Knowledge Manager,10,resolved
ISS-00293,AST-00108,SRC-025,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,5,blocked
ISS-00294,AST-00108,SRC-025,Compliance Policy,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,10,resolved
ISS-00301,AST-00111,SRC-027,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,5,in_progress
ISS-00306,AST-00113,SRC-047,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,5,open
ISS-00312,AST-00115,SRC-026,Customer Risk Notes,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,15,in_progress
ISS-00319,AST-00118,SRC-077,Customer Risk Notes,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,15,open
ISS-00326,AST-00121,SRC-073,Business Registry,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,10,resolved
ISS-00343,AST-00129,SRC-090,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,20,open
ISS-00346,AST-00131,SRC-022,Sanctions Screening,metadata_gap,P1,True,160,Complete business description and field dictionary,Knowledge Manager,10,in_progress
ISS-00347,AST-00131,SRC-022,Sanctions Screening,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,10,in_progress
ISS-00348,AST-00131,SRC-022,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,20,open
ISS-00349,AST-00131,SRC-022,Sanctions Screening,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,5,in_progress
ISS-00355,AST-00135,SRC-049,Compliance Policy,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,10,open
ISS-00356,AST-00135,SRC-049,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,10,open
ISS-00357,AST-00135,SRC-049,Compliance Policy,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,20,in_progress
ISS-00358,AST-00136,SRC-066,Case Operations,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,5,blocked
ISS-00360,AST-00136,SRC-066,Case Operations,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,5,open
ISS-00361,AST-00137,SRC-090,Compliance Policy,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,5,open
ISS-00362,AST-00137,SRC-090,Compliance Policy,metadata_gap,P1,True,160,Complete business description and field dictionary,Source Owner,10,in_progress
ISS-00363,AST-00137,SRC-090,Compliance Policy,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,10,resolved
ISS-00368,AST-00139,SRC-014,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,10,blocked
ISS-00374,AST-00142,SRC-025,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Governance Partner,10,in_progress
ISS-00375,AST-00142,SRC-025,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,5,blocked
ISS-00376,AST-00142,SRC-025,Compliance Policy,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,10,resolved
ISS-00380,AST-00143,SRC-026,Customer Risk Notes,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,15,open
ISS-00385,AST-00144,SRC-080,Device Intelligence,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,10,blocked
ISS-00391,AST-00146,SRC-040,Fraud Signals,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Governance Partner,5,in_progress
ISS-00393,AST-00147,SRC-072,Identity Verification,stale_source,P1,False,160,Refresh or remove stale retrieval source,Knowledge Manager,5,in_progress
ISS-00394,AST-00147,SRC-072,Identity Verification,metadata_gap,P1,False,160,Complete business description and field dictionary,Source Owner,5,open
ISS-00395,AST-00147,SRC-072,Identity Verification,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Source Owner,5,in_progress
ISS-00396,AST-00147,SRC-072,Identity Verification,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Knowledge Manager,10,resolved
ISS-00406,AST-00154,SRC-089,Case Operations,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,15,open
ISS-00407,AST-00154,SRC-089,Case Operations,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,5,open
ISS-00408,AST-00154,SRC-089,Case Operations,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,10,in_progress
ISS-00409,AST-00154,SRC-089,Case Operations,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,10,open
ISS-00418,AST-00159,SRC-034,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,15,open
ISS-00422,AST-00161,SRC-083,Sanctions Screening,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,10,open
ISS-00423,AST-00161,SRC-083,Sanctions Screening,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,15,in_progress
ISS-00424,AST-00161,SRC-083,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,10,open
ISS-00425,AST-00161,SRC-083,Sanctions Screening,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,10,in_progress
ISS-00430,AST-00163,SRC-049,Compliance Policy,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,10,open
ISS-00433,AST-00165,SRC-060,Fraud Signals,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,15,open
ISS-00434,AST-00165,SRC-060,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,20,open
ISS-00435,AST-00165,SRC-060,Fraud Signals,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,5,in_progress
ISS-00439,AST-00166,SRC-034,Business Registry,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,10,in_progress
ISS-00453,AST-00172,SRC-004,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,20,in_progress
ISS-00464,AST-00177,SRC-026,Customer Risk Notes,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,15,open
ISS-00466,AST-00178,SRC-010,Sanctions Screening,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,20,open
ISS-00467,AST-00178,SRC-010,Sanctions Screening,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,5,open
ISS-00468,AST-00178,SRC-010,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,20,resolved
ISS-00469,AST-00178,SRC-010,Sanctions Screening,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,15,open
ISS-00470,AST-00179,SRC-082,Business Registry,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,15,open
ISS-00471,AST-00179,SRC-082,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,10,open
ISS-00472,AST-00179,SRC-082,Business Registry,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,5,resolved
ISS-00473,AST-00180,SRC-083,Sanctions Screening,metadata_gap,P1,True,160,Complete business description and field dictionary,Knowledge Manager,10,open
ISS-00474,AST-00180,SRC-083,Sanctions Screening,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,10,in_progress
ISS-00475,AST-00180,SRC-083,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,15,open
ISS-00479,AST-00182,SRC-013,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,10,blocked
ISS-00480,AST-00182,SRC-013,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,10,in_progress
ISS-00481,AST-00182,SRC-013,Identity Verification,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,10,in_progress
ISS-00488,AST-00186,SRC-062,Identity Verification,stale_source,P1,True,160,Refresh or remove stale retrieval source,Knowledge Manager,5,open
ISS-00489,AST-00186,SRC-062,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,15,open
ISS-00490,AST-00186,SRC-062,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,10,resolved
ISS-00491,AST-00186,SRC-062,Identity Verification,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,15,in_progress
ISS-00492,AST-00186,SRC-062,Identity Verification,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,5,resolved
ISS-00505,AST-00191,SRC-027,Fraud Signals,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Knowledge Manager,15,in_progress
ISS-00515,AST-00195,SRC-007,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,10,resolved
ISS-00523,AST-00198,SRC-042,Case Operations,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,5,resolved
ISS-00524,AST-00198,SRC-042,Case Operations,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,15,open
ISS-00539,AST-00206,SRC-092,Fraud Signals,metadata_gap,P1,False,160,Complete business description and field dictionary,Data Steward,10,open
ISS-00540,AST-00206,SRC-092,Fraud Signals,semantic_label_gap,P1,False,160,Assign approved retrieval category labels,Source Owner,10,resolved
ISS-00541,AST-00206,SRC-092,Fraud Signals,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Source Owner,10,in_progress
ISS-00542,AST-00206,SRC-092,Fraud Signals,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,5,open
ISS-00551,AST-00211,SRC-064,Device Intelligence,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,15,blocked
ISS-00552,AST-00211,SRC-064,Device Intelligence,metadata_gap,P1,True,160,Complete business description and field dictionary,Source Owner,5,blocked
ISS-00553,AST-00211,SRC-064,Device Intelligence,semantic_label_gap,P1,True,160,Assign approved retrieval category labels,Governance Partner,15,open
ISS-00554,AST-00211,SRC-064,Device Intelligence,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,5,open
ISS-00555,AST-00211,SRC-064,Device Intelligence,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,10,blocked
ISS-00559,AST-00213,SRC-070,Customer Risk Notes,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,15,open
ISS-00564,AST-00215,SRC-054,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Governance Partner,10,open
ISS-00565,AST-00215,SRC-054,Compliance Policy,metadata_gap,P1,False,160,Complete business description and field dictionary,Source Owner,10,open
ISS-00566,AST-00215,SRC-054,Compliance Policy,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Data Steward,15,open
ISS-00567,AST-00215,SRC-054,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Governance Partner,5,in_progress
ISS-00568,AST-00215,SRC-054,Compliance Policy,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,15,open
ISS-00581,AST-00221,SRC-006,Sanctions Screening,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Knowledge Manager,10,in_progress
ISS-00593,AST-00226,SRC-007,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,5,in_progress
ISS-00596,AST-00228,SRC-083,Sanctions Screening,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,20,blocked
ISS-00597,AST-00228,SRC-083,Sanctions Screening,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,5,open
ISS-00598,AST-00228,SRC-083,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,5,open
